Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_17,Day14,0.871093,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day21,0.775874,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day28,5.69638,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day35,7.611693,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day42,10.1817,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day49,10.48006,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day56,10.5601,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day63,8.480262,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day70,9.083342,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day77,9.930858,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day84,8.125062,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day125,3.977618,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_17,Day139,4.609733,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day7,0.08599,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day14,0.660449,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day21,0.358593,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day28,3.250728,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day35,6.704809,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day42,4.450679,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day49,4.760833,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day56,7.022513,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day63,4.426054,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day70,6.654605,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day77,5.254712,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day84,5.196591,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day125,13.91921,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_18,Day139,0.927147,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day7,0.090438,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day14,0.502032,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day21,0.47453,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day28,8.089917,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day35,11.81263,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day42,13.79931,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day49,16.94104,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day56,19.59128,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day63,12.94503,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day70,15.96401,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day77,14.37359,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day84,14.93463,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day125,6.171942,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_19,Day139,7.795269,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day7,0.276012,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day14,1.237083,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day21,1.181403,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day28,7.502205,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day35,6.003029,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day42,6.190324,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day49,6.639122,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day56,5.305316,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day63,3.893053,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day70,4.502321,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day77,4.656411,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day84,4.208274,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day125,8.480433,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_20,Day139,0.892708,Bolus Prime/Bolus Boost Day 21,Fig1C-Red
2016 Tam,Mouse_21,Day7,0.1,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day14,27.94078,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day21,19.17029,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day28,26.36527,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day35,24.73758,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day42,21.49009,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day49,35.73288,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day56,23.43741,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day63,45.50331,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day77,27.68372,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_21,Day91,17.26597,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day7,0.1,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day14,10.82128,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day21,3.882582,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day28,20.75868,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day35,14.54851,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day42,13.5449,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day49,13.55347,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day56,8.707424,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day63,26.49628,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day77,10.36373,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_22,Day91,7.884632,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day7,1.133349,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day14,0,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day21,3.915306,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day28,11.15273,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day35,10.02237,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day42,11.63422,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day49,16.24785,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day56,16.63601,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day63,48.08993,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day77,21.7416,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_23,Day91,18.49807,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day7,0.1,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day14,8.62693,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day21,2.73251,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day28,10.82377,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day35,14.60487,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day42,13.76342,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day49,24.74326,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day56,13.96219,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day63,23.90332,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day77,18.38083,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_24,Day91,16.59922,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day7,0.1,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day14,5.796994,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day21,4.442121,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day28,17.68403,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day35,19.94098,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day42,28.62855,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day49,49.51188,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day56,44.88758,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day63,96.73872,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day77,69.63625,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_25,Day91,48.75227,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day7,0.1,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day14,2.691496,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day21,4.191208,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day28,180.203,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day35,28.45502,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day42,29.62365,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day49,23.45652,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day56,42.93338,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day63,22.89327,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day77,16.20938,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_26,Day91,14.48739,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day7,0.1,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day14,6.846167,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day21,6.142015,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day28,42.11132,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day35,55.73107,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day42,66.32426,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day49,70.85957,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day56,148.2551,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day63,58.43393,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day77,40.71529,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_27,Day91,43.3504,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day7,8.050896,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day14,2.812767,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day21,2.013602,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day28,23.08123,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day35,60.2579,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day42,104.5742,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day49,129.5253,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day56,186.1317,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day63,184.3214,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day77,163.7085,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_28,Day91,132.1162,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day7,0.1,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day14,6.298006,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day21,6.19455,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day28,64.32382,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day35,79.56292,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day42,71.65427,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day49,66.96016,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day56,121.4733,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day63,49.08223,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day77,45.61094,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_29,Day91,38.1478,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day7,0.5002653,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day14,12.68298,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day21,8.822088,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day28,20.56324,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day35,15.48446,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day42,14.69753,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day49,11.454,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day56,31.82456,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day63,7.228927,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day77,2.971057,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_30,Day91,-2.142207,1wk Exp-inc Prime/Bolus Boost Day 21,Fig2C-Blue
2016 Tam,Mouse_31,Day7,0.8607703,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day14,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day21,30.97445,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day28,22.5274,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day35,89.8941,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day42,133.2678,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day49,144.4761,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day56,113.7169,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day63,187.4503,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day77,102.2864,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_31,Day91,77.60854,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day7,1.065075,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day14,101.3444,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day21,148.5657,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day28,25.8955,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day35,206.2642,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day42,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day49,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day56,234.7374,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day63,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day77,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_32,Day91,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day7,0.1,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day14,32.23401,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day21,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day28,43.13202,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day35,168.7608,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day42,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day49,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day56,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day63,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day77,134.3335,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_33,Day91,132.7428,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day7,0.1,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day14,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day21,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day28,26.35855,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day35,68.23975,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day42,108.1865,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day49,141.9985,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day56,126.7329,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day63,147.9471,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day77,97.02924,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_34,Day91,99.49329,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day7,0.1,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day14,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day21,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day28,17.53053,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day35,55.8874,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day42,74.23905,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day49,78.00393,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day56,88.32806,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day63,68.75169,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day77,58.90275,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_35,Day91,50.75866,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day7,0.0405333,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day14,11.55253,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day21,22.12712,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day28,21.8047,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day35,104.5669,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day42,90.06842,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day49,79.44986,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day56,118.3707,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
