Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_36,Day63,74.74479,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day77,50.98301,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_36,Day91,46.20832,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day7,0.1,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day14,12.54016,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day21,25.22714,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day28,26.54677,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day35,203.6721,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day42,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day49,254.4255,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day56,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day63,-,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day77,151.315,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_37,Day91,145.0545,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day7,0.2809453,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day14,23.77241,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day21,18.16383,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day28,52.92432,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day35,163.3791,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day42,140.1067,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day49,97.84652,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day56,115.9003,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day63,87.06029,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day77,47.03642,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_38,Day91,34.96545,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day7,0.7805063,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day14,23.00551,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day21,20.21063,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day28,30.15788,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day35,177.0223,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day42,237.4574,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day49,135.0274,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day56,486.5504,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day63,272.7874,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day77,82.15224,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_39,Day91,80.86802,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day7,1.99948,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day14,18.62479,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day21,16.70551,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day28,17.07726,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day35,114.8136,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day42,199.318,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day49,157.8427,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day56,394.3969,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day63,168.4401,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day77,105.5514,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_40,Day91,82.58067,2wk Exp-inc Prime/Bolus Boost Day 28,Fig2C-Purple
2016 Tam,Mouse_41,Day7,0.4284213,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day14,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day21,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day28,0.6492847,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day35,0.540032,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day42,0.1353171,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day49,0.7025001,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day56,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day63,0.4927871,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day77,0.9824713,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_41,Day91,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day7,0.3600703,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day14,0.3574969,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day21,0.8084015,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day28,9.439765,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day35,8.912962,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day42,6.709359,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day49,7.484022,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day56,7.863651,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day63,8.077077,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day77,11.81818,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_42,Day91,6.011402,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day7,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day14,4.457585,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day21,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day28,3.415436,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day35,8.383817,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day42,6.276068,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day49,11.33349,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day56,9.842754,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day63,11.04791,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day77,12.12773,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_43,Day91,8.831021,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day7,0.4049843,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day14,0.658249,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day21,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day28,6.047581,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day35,9.944006,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day42,15.50975,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day49,17.43014,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day56,15.05373,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day63,16.99369,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day77,17.77433,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_44,Day91,13.25609,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day7,1.171809,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day14,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day21,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day28,0.7187617,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day35,2.197856,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day42,1.025427,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day49,2.601015,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day56,2.052151,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day63,0.09786705,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day77,0.3348513,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_45,Day91,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day7,0.7699653,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day14,2.917899,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day21,2.24421,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day28,9.337754,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day35,9.092009,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day42,8.202265,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day49,8.335614,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day56,10.9957,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day63,5.8068,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day77,21.40837,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_46,Day91,3.513979,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day7,0.9603563,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day14,2.160782,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day21,1.680375,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day28,4.258047,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day35,5.879892,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day42,5.563866,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day49,5.01044,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day56,6.466646,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day63,5.16367,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day77,1.532796,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_47,Day91,1.477147,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day7,0.2366343,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day14,0.587392,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day21,1.394806,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day28,5.926659,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day35,9.026318,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day42,9.839554,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day49,8.641075,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day56,11.79516,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day63,10.28031,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day77,5.372367,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_48,Day91,5.804266,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day7,0.0210463,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day14,2.903148,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day21,1.377146,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day28,3.857029,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day35,8.170665,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day42,8.067118,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day49,23.71471,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day56,31.81308,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day63,13.49299,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day77,5.776322,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_49,Day91,5.797996,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day7,0.1,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day14,0.490111,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day21,0.4514005,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day28,8.057067,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day35,14.24833,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day42,12.16447,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day49,13.48518,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day56,33.40023,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day63,15.6095,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day77,11.27946,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_50,Day91,9.422441,Bolus Prime/Bolus Boost Day 21,Fig2C-Red
2016 Tam,Mouse_51,Day7,0.0623823,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day14,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day21,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day28,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day35,1.115807,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day42,1.722887,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day49,1.938876,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day56,0.5407185,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day63,0.457884,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day77,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_51,Day91,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day7,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day14,0.905238,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day21,0.1901905,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day28,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day35,10.14305,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day42,27.62632,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day49,12.43471,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day56,27.41543,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day63,47.45133,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day77,23.03142,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_52,Day91,22.57694,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day7,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day14,-,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day21,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day28,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day35,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day42,0.1922721,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day49,10.23677,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day56,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day63,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day77,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_53,Day91,0.4521165,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day7,0.9157993,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day14,1.022765,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day21,0.8058765,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day28,1.141702,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day35,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day42,20.13402,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day49,28.83369,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day56,33.94056,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day63,32.53836,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day77,24.92964,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_54,Day91,25.94543,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day7,1.566728,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day14,0.7015759,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day21,0.1,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day28,0.2251527,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day35,3.65126,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day42,6.868835,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day49,12.7864,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day56,6.701519,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day63,10.85283,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day77,10.11606,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_55,Day91,6.03025,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day7,0.5196673,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day14,1.496611,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day21,0.8843365,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day28,0.9491407,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day35,15.93892,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day42,33.68837,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day49,29.58995,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day56,52.9869,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day63,39.41295,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day77,10.84713,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_56,Day91,18.48449,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day7,0.2342773,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day14,0.543852,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day21,0.3931645,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day28,0.3892387,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day35,26.7723,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day42,43.25552,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day49,44.30054,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day56,68.64944,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day63,36.73199,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day77,23.73227,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_57,Day91,14.40769,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_58,Day7,1.068241,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_58,Day14,1.133545,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_58,Day21,1.84727,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
2016 Tam,Mouse_58,Day28,1.13152,Bolus Prime/Bolus Boost Day 28,Fig2C-Brown
